Date,Open,High,Low,Close,Volume
2017-09-15,158.494,160.97145,158.00519,159.87268,48849127
2017-09-18,160.11499,160.50771,158.00519,158.69453,28159417
2017-09-19,159.48832,159.7557,158.46058,158.73631,20594333
2017-09-20,157.9091,158.28093,153.82319,156.07086,52199168
2017-09-21,155.81184,155.81184,152.75785,153.37617,37369911
2017-09-22,152.01002,152.26069,150.57703,151.89722,46583292
2017-09-25,149.99213,151.83455,149.16075,150.56449,44368819
2017-09-26,151.78442,153.90675,151.68833,153.15892,36626224
2017-09-27,153.78977,154.71725,153.52239,154.22844,25403370
2017-09-28,153.87333,154.28275,152.70772,153.28426,21984309
2017-09-29,153.22994,154.124,151.99331,154.11564,26265064
2017-10-02,154.25769,154.45822,152.72861,153.79813,18682698
2017-10-03,153.99866,155.0849,153.89422,154.46658,16219180
2017-10-04,153.6143,153.83991,152.45705,153.45972,20115963
2017-10-05,154.17413,155.44837,154.04044,155.39406,21265358
2017-10-06,154.96792,155.49015,154.56267,155.29797,17385746
2017-10-09,155.82437,156.71425,155.49015,155.85362,16243795
2017-10-10,156.05833,158.00519,155.09325,155.91628,15603772
2017-10-11,155.98731,156.96492,155.75753,156.53878,16881574
2017-10-12,156.32989,157.37434,155.74081,156.00402,16381112
2017-10-13,156.71425,157.28243,156.39255,156.97745,16373805
2017-10-16,157.9091,159.99801,157.66679,159.87268,24096192
2017-10-17,159.76823,160.867,159.22512,160.47846,18972355
2017-10-18,160.42415,160.70824,159.58023,159.74734,16256411
2017-10-19,156.73931,157.07354,155.02223,155.99566,42386837
2017-10-20,156.60145,157.7587,155.97477,156.22544,23911658
2017-10-23,156.88136,157.70857,155.4985,156.16277,21960124
2017-10-24,156.26722,157.42448,156.18366,157.09025,17638332
2017-10-25,156.90643,157.56234,155.26872,156.39255,21177497
2017-10-26,157.22812,157.8339,156.76856,157.41612,16932722
2017-10-27,159.28778,163.59512,158.71125,163.08125,44401409
2017-10-30,163.88757,168.07374,163.72045,166.72013,44700772
2017-10-31,167.90245,169.63625,166.92902,169.05553,36046827
2017-11-01,169.86603,169.94123,165.62136,166.87471,33637763
2017-11-02,167.63925,168.49988,165.27878,168.11552,41393372
2017-11-03,174.01043,174.27363,171.1152,172.4897,59398630
2017-11-06,172.35601,174.98804,171.73351,174.2611,34776225
2017-11-07,173.91434,175.12173,173.91434,174.80003,24337387
2017-11-08,174.66634,176.24556,174.34465,176.24556,24363583
2017-11-09,175.10502,176.10351,173.13308,175.88209,29427300
2017-11-10,175.10638,175.38946,174.26965,174.66096,25130494
2017-11-13,173.51201,174.48612,173.40794,173.98241,16958896
2017-11-14,173.05409,173.49119,171.18913,171.339,24692542
2017-11-15,169.96109,170.30245,168.39586,169.07024,28999800
2017-11-16,171.18913,171.86352,170.28579,171.11837,23605546
2017-11-17,171.05176,171.39311,169.65304,170.14842,21886419
2017-11-20,170.27331,170.55222,169.56978,169.96942,16041774
2017-11-21,170.78534,173.70766,170.78534,173.14984,25050754
2017-11-22,173.36631,174.98982,173.06658,174.94819,25561616
2017-11-24,175.09806,175.50185,174.64431,174.96068,14026672
2017-11-27,175.04394,175.07308,173.34549,174.08232,20592910
2017-11-28,174.29879,174.85661,171.85103,173.08323,26403426
2017-11-29,172.62532,172.92921,167.16365,169.48653,41475324
2017-11-30,170.41901,172.12994,168.46246,171.83854,41490376
2017-12-01,169.94028,171.6637,168.52074,171.06425,39735865
2017-12-04,172.47129,172.61699,169.64055,169.80707,32514237
2017-12-05,169.04943,171.518,168.42084,169.65304,27316623
2017-12-06,167.50501,170.19005,166.43515,169.0411,28400454
2017-12-07,169.01612,170.42733,168.90373,169.32001,25656353
2017-12-08,170.48145,171.01013,168.80798,169.37413,23295478
2017-12-11,169.19513,172.90007,168.77884,172.66695,34266395
2017-12-12,172.14243,172.37555,171.45556,171.68451,19393000
2017-12-13,172.49211,173.55364,171.9884,172.26731,23403467
2017-12-14,172.38804,173.13735,171.64289,172.2132,20442879
2017-12-15,173.63689,174.16141,172.45048,173.98241,40130512
2017-12-18,174.86494,177.17948,174.84829,176.43017,29387842
2017-12-19,175.02313,175.39778,174.08232,174.51942,27394405
2017-12-20,174.85661,175.43109,173.26224,174.35291,23456926
2017-12-21,174.16141,176.03054,174.09481,175.00231,20850978
2017-12-22,174.67345,175.43109,174.48612,175.00231,16340802
2017-12-26,170.80199,171.46388,169.69467,170.56471,33145029
2017-12-27,170.0943,170.78534,169.72381,170.59385,21480250
2017-12-28,171.01013,171.83854,170.46896,171.09339,16457922
2017-12-29,170.51059,170.58552,169.21594,169.22427,25945879
2018-01-02,170.16091,172.29229,169.25757,172.25483,25519354
2018-01-03,172.52541,174.53607,171.94677,172.22569,29466656
2018-01-04,172.53374,173.48287,172.07166,173.04161,22348890
2018-01-05,173.44957,175.37697,173.06658,174.98982,23596446
2018-01-08,174.35291,175.61425,173.94078,174.39453,20530355
2018-01-09,174.53607,175.05643,173.41626,174.32793,21533191
2018-01-10,173.16649,174.29879,173.01247,174.2863,23938928
2018-01-11,174.5777,175.48937,174.48612,175.28122,18653781
2018-01-12,176.18873,177.346,175.65588,177.06709,25332836
2018-01-16,177.88717,179.39412,176.1471,176.19705,29517766
2018-01-17,176.15542,179.26091,175.06475,179.10272,34269204
2018-01-18,179.37747,180.10597,178.2535,179.26924,31090544
2018-01-19,178.61567,179.58145,177.38763,178.46997,31479768
2018-01-22,177.28356,177.77061,176.60501,176.99632,27063087
2018-01-23,177.28356,179.44824,176.81315,177.03795,32540741
2018-01-24,177.22944,177.28356,173.20812,174.21553,51378606
2018-01-25,174.49444,174.93987,170.52308,171.12669,41448316
2018-01-26,171.9884,171.9884,170.05267,171.50551,39091379
2018-01-29,170.16091,170.16091,167.06791,167.96292,50568641
